year,fires,acres ,doi_agencies,total
1985,82591,2896147,78438000,239943000
1986,85907,2719162,91153000,202778000
1987,71300,2442296,81452000,335109000
1988,72750,5009290,149317000,578926000
1989,48949,1827310,168115000,499787000
1990,66481,4621621,144252000,397952000
1991,75754,2953578,73820000,206120000
1992,87394,2069929,87166000,377466000
1993,58810,1797574,56436000,240436000
1994,79107,4073579,161135000,918335000
1995,82234,1840546,110126000,477126000
1996,96363,6065998,153683000,701183000
1997,66196,2856959,105048000,284148000
1998,81043,1329704,109904000,416704000
1999,9487,5626093,154416000,515516000
2000,92250,7383493,334802000,1410802000
2001,84079,350911,269574000,952696000
2002,73457,7184712,395040000,1674040000
2003,63629,3960842,303638000,1327138000
2004,65461,8097880,281244000,1007244000
2005,66753,8689389,294054000,818954000
2006,96385,9873745,424058000,1704477000
2007,85705,9328045,470491000,1620145000
2008,78979,5292468,392783000,1585856000
2009,78792,5921786,218418000,920529000
2010,71971,3422724,231214000,809499000
2011,74126,8711367,318789000,1374525000
2012,67774,9326238,465832000,1902446000
2013,47579,4319546,399199000,1740934000
2014,63212,3595613,326194000,1522149000
2015,68151,10125149,417543000,2130543000
2016,67595,5503538,371739000,1975545000
2017,71499,10026086,508000000,2918165000
2018,58083,8767492,528000000,3143256000
2019,50477,4664364,440000000,1590000000